"fe_tsmp","msrgp_code","msr_type","tty_code","tar_msr_no","le_tsmp","adval_rate","alch_sgth","audit_tsmp","cap_ai_stmt","cap_max_pct","cmdty_msr_xhdg","comp_mthd","cpc_wvr_phb","ec_msr_set","mip_band_exch","mip_rate_exch","mip_uoq_code","nba_id","null_tri_rqd","qta_code_uk","qta_elig_use","qta_exch_rate","qta_no","qta_uoq_code","rfa","rfs_code_1","rfs_code_2","rfs_code_3","rfs_code_4","rfs_code_5","tdr_spr_sur","exports_use_ind","processed","amend_indicator","origin","ec_sctr"
"2012-07-01 00:00:00","PR","AHC",NULL,"0304599015",NULL,NULL,NULL,"2012-06-21 09:07:00","null",NULL,"Y","null","N","null","null","null","null","null","Y","null","N","null","null","null","ITP BATCH INTERFACE","null","null","null","null","null","null",0,0,"U","2012-07-02_KBT009(12184).txt","null"
"2012-07-01 00:00:00","PR","AHC",NULL,"0306121010",NULL,-1.000,NULL,"2012-06-21 09:08:00","null",NULL,"Y","null","N","null","null","null","null","null","Y","null","N","null","null","null","ITP BATCH INTERFACE","null","null","null","null","null","null",0,0,"U","2012-07-02_KBT009(12184).txt","null"
"2012-07-01 00:00:00","PR","CVD",NULL,"03074110",NULL,NULL,NULL,"2012-06-21 09:08:00","null",NULL,"N","null","N","null","null","null","null","null","Y","null","N","null","null","null","ITP BATCH INTERFACE","null","null","null","null","null","null",0,0,"U","2012-07-02_KBT009(12184).txt","null"
"2012-07-01 00:00:00","PR","AHC",NULL,"0305100010",NULL,NULL,NULL,"2012-06-21 09:07:00","null",NULL,"Y","null","N","null","null","null","null","null","Y","null","N","null","null","null","ITP BATCH INTERFACE","null","null","null","null","null","null",0,0,"U","2012-07-02_KBT009(12184).txt","null"
"2012-07-01 00:00:00","PR","CVD",NULL,"0202209010",NULL,NULL,NULL,"2012-06-21 09:05:00","null",NULL,"N","null","N","null","null","null","null","null","Y","null","N","null","null","null","ITP BATCH INTERFACE","null","null","null","null","null","null",0,0,"U","2012-07-02_KBT009(12184).txt","null"
"2012-07-01 00:00:00","PR","CVD",NULL,"03082100",NULL,NULL,NULL,"2012-06-21 09:08:00","null",NULL,"N","null","N","null","null","null","null","null","Y","null","N","null","null","null","ITP BATCH INTERFACE","null","null","null","null","null","null",0,0,"U","2012-07-02_KBT009(12184).txt","null"
"2012-07-01 00:00:00","PR","AHC",NULL,"03047300",NULL,NULL,NULL,"2012-06-21 09:07:00","null",NULL,"Y","null","N","null","null","null","null","null","Y","null","N","null","null","null","ITP BATCH INTERFACE","null","null","null","null","null","null",0,0,"U","2012-07-02_KBT009(12184).txt","null"
"2012-07-01 00:00:00","PR","AHC",NULL,"03074199",NULL,NULL,NULL,"2012-06-21 09:08:00","null",NULL,"Y","null","N","null","null","null","null","null","Y","null","N","null","null","null","ITP BATCH INTERFACE","null","null","null","null","null","null",0,0,"U","2012-07-02_KBT009(12184).txt","null"
"2012-07-01 00:00:00","PR","AHC",NULL,6403993191,NULL,NULL,NULL,"2012-06-21 09:02:00","null",NULL,"N","null","N","null","null","null","null","null","N","null","N","null","null","null","null","null","null","null","null","null","null",0,0,"X","2012-07-02_KBT009(12184).txt","null"
"2012-07-01 00:00:00","PR","CVD",NULL,"03024200",NULL,NULL,NULL,"2012-06-21 09:06:00","null",NULL,"N","null","N","null","null","null","null","null","Y","null","N","null","null","null","ITP BATCH INTERFACE","null","null","null","null","null","null",0,0,"U","2012-07-02_KBT009(12184).txt","null"
"2012-07-01 00:00:00","PR","CON",NULL,"0805102011",NULL,NULL,NULL,"2012-06-21 09:08:00","null",NULL,"N","null","N","null","null","null","null","null","Y","null","N","null","null","null","ITP BATCH INTERFACE","null","null","null","null","null","null",0,0,"U","2012-07-02_KBT009(12184).txt","null"
"2012-07-01 00:00:00","PR","CVD",NULL,"03075990",NULL,NULL,NULL,"2012-06-21 09:08:00","null",NULL,"N","null","N","null","null","null","null","null","Y","null","N","null","null","null","ITP BATCH INTERFACE","null","null","null","null","null","null",0,0,"U","2012-07-02_KBT009(12184).txt","null"
"2012-07-01 00:00:00","PR","CVD",NULL,"0302410010",NULL,-1.000,NULL,"2012-06-21 09:06:00","null",NULL,"N","null","N","null","null","null","null","null","Y","null","N","null","null","null","ITP BATCH INTERFACE","null","null","null","null","null","null",0,0,"U","2012-07-02_KBT009(12184).txt","null"
"2012-07-01 00:00:00","PR","PHC",NULL,"0805102096",NULL,NULL,NULL,"2012-06-21 09:08:00","null",NULL,"N","null","N","null","null","null","null","null","Y","null","N","null","null","null","ITP BATCH INTERFACE","null","null","null","null","null","null",0,0,"U","2012-07-02_KBT009(12184).txt","null"
"2012-07-01 00:00:00","PR","AHC",NULL,"0305399040",NULL,NULL,NULL,"2012-06-21 09:07:00","null",NULL,"Y","null","N","null","null","null","null","null","Y","null","N","null","null","null","ITP BATCH INTERFACE","null","null","null","null","null","null",0,0,"U","2012-07-02_KBT009(12184).txt","null"
"2012-07-01 00:00:00","PR","AHC",NULL,"0303899020",NULL,NULL,NULL,"2012-06-21 09:06:00","null",NULL,"Y","null","N","null","null","null","null","null","Y","null","N","null","null","null","ITP BATCH INTERFACE","null","null","null","null","null","null",0,0,"U","2012-07-02_KBT009(12184).txt","null"
