"fe_tsmp","msrgp_code","msr_type","tty_code","tar_msr_no","adval1_rate","adval2_rate","ai_factor","cmdty_dmql","cmdty_dmql_uoq","cngp_code","cntry_disp","cntry_orig","duty_type","ec_supplement","ec_exch_rate","spcl_inst","spfc1_cmpd_uoq","spfc1_rate","spfc1_uoq","spfc2_rate","spfc2_uoq","spfc3_rate","spfc3_uoq","tamf_dt","tamf_sta","tamf_ty","processed","amend_indicator","origin"
"2012-07-01 00:00:00","PR","CVD",NULL,1604141645,NULL,NULL,"N",NULL,NULL,"D066",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","PR","AHC",NULL,"0304870020",NULL,NULL,"N",NULL,NULL,"G012",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","PR","AHC",NULL,"0305720054",NULL,NULL,"N",NULL,NULL,"G012",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","PR","AHC",NULL,"0202201010",NULL,NULL,"N",NULL,NULL,"G012",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","PR","CVD",NULL,"04022191",NULL,NULL,"N",NULL,NULL,"D066",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","PR","CVD",NULL,"03024700",NULL,NULL,"N",NULL,NULL,"D066",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","PR","CVD",NULL,"0305598065",NULL,NULL,"N",NULL,NULL,"D066",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","PR","CVD",NULL,16056900,NULL,NULL,"N",NULL,NULL,"D066",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","PR","AHC",NULL,"03019410",NULL,NULL,"N",NULL,NULL,"G012",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","PR","AHC",NULL,4202210090,NULL,NULL,"N",NULL,NULL,"G012",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","PR","AHC",NULL,"0304999910",NULL,NULL,"N",NULL,NULL,"G012",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","PR","AHC",NULL,"0202203010",NULL,NULL,"N",NULL,NULL,"G012",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","PR","AHC",NULL,"03023599",NULL,NULL,"N",NULL,NULL,"G012",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","PR","AHC",NULL,"03049540",NULL,NULL,"N",NULL,NULL,"G012",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","PR","AHC",NULL,"0303909020",NULL,NULL,"N",NULL,NULL,"G012",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","PR","AHC",NULL,"03038910",NULL,NULL,"N",NULL,NULL,"G012",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","PR","AHC",NULL,"03055930",NULL,NULL,"N",NULL,NULL,"G012",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","PR","CVD",NULL,16056300,NULL,NULL,"N",NULL,NULL,"D066",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","PR","EQC",NULL,"07099310",NULL,NULL,"N",NULL,NULL,"G012",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","PR","CVD",NULL,"03025490",NULL,NULL,"N",NULL,NULL,"D066",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","PR","AHC",NULL,"0304599015",NULL,NULL,"N",NULL,NULL,"G012",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","PR","AHC",NULL,"0306121010",NULL,NULL,"N",NULL,NULL,"G012",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","PR","CVD",NULL,"03074110",NULL,NULL,"N",NULL,NULL,"D066",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","PR","AHC",NULL,"0305100010",NULL,NULL,"N",NULL,NULL,"G012",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","PR","CVD",NULL,"0202209010",NULL,NULL,"N",NULL,NULL,"D067",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","PR","CVD",NULL,"03082100",NULL,NULL,"N",NULL,NULL,"D066",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","PR","AHC",NULL,"03047300",NULL,NULL,"N",NULL,NULL,"G012",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","PR","AHC",NULL,"03074199",NULL,NULL,"N",NULL,NULL,"G012",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","PR","CVD",NULL,"03024200",NULL,NULL,"N",NULL,NULL,"D066",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","PR","CON",NULL,"0805102011",NULL,NULL,"N",NULL,NULL,"G012",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","PR","CVD",NULL,"03075990",NULL,NULL,"N",NULL,NULL,"D066",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","PR","CVD",NULL,"0302410010",NULL,NULL,"N",NULL,NULL,"D066",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","PR","PHC",NULL,"0805102096",NULL,NULL,"N",NULL,NULL,"G012",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","PR","AHC",NULL,"0305399040",NULL,NULL,"N",NULL,NULL,"G012",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","PR","AHC",NULL,"0303899020",NULL,NULL,"N",NULL,NULL,"G012",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","PR","CVD",NULL,"0201300010",NULL,NULL,"N",NULL,NULL,"D067",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","PR","CVD",NULL,"0304991090",NULL,NULL,"N",NULL,NULL,"D066",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","PR","AHC",NULL,"03074991",NULL,NULL,"N",NULL,NULL,"G012",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","PR","AHC",NULL,"03089050",NULL,NULL,"N",NULL,NULL,"G012",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","PR","CVD",NULL,"0305698065",NULL,NULL,"N",NULL,NULL,"D066",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","PR","QRC",NULL,44079115,NULL,NULL,"N",NULL,NULL,"G012",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","PR","CVD",NULL,"0202301099",NULL,NULL,"N",NULL,NULL,"D067",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","PR","CVD",NULL,1604129110,NULL,NULL,"N",NULL,NULL,"D066",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","PR","CVD",NULL,"0302900010",NULL,NULL,"N",NULL,NULL,"D066",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","PR","CVD",NULL,"0201205091",NULL,NULL,"N",NULL,NULL,"D067",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","PR","CVD",NULL,"0303899010",NULL,NULL,"N",NULL,NULL,"D066",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"U","2012-07-02_KBT009(12184).txt"
