"fe_tsmp","msrgp_code","msr_type","tty_code","le_tsmp","audit_tsmp","cmdty_code","cmdty_msr_xhdg","null_tri_rqd","exports_use_ind","tar_msr_no","processed","amend_indicator","origin"
"2012-07-01 00:00:00","VT","Z","B00",NULL,"2012-06-21 09:01:00","03079913","Y","N",0,NULL,0,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","VT","Z","B00",NULL,"2012-06-21 09:00:00","03028130","Y","N",0,NULL,0,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","VT","Z","B00",NULL,"2012-06-21 09:01:00","0305610000","Y","N",0,NULL,0,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","VT","S","B00",NULL,"2012-06-21 09:02:00",6403599591,"N","N",0,NULL,0,"X","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","PR","AHC",NULL,NULL,"2012-06-21 09:02:00",6403599591,"N","N",0,6403599591,0,"X","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","VT","Z","B00",NULL,"2012-06-22 14:36:00","0206299120","Y","N",0,NULL,0,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","VT","S","B00",NULL,"2012-06-28 16:31:00",3824909796,"N","N",0,NULL,0,"I","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","VT","Z","B00",NULL,"2012-06-21 09:01:00","03081910","Y","N",0,NULL,0,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","VT","S","B00",NULL,"2012-06-21 09:03:00",87032410,"N","N",0,NULL,0,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","VT","Z","B00",NULL,"2012-06-21 09:01:00",1605290040,"Y","N",0,NULL,0,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","VT","S","B00",NULL,"2012-06-21 09:01:00",2401208510,"N","N",0,NULL,0,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","VT","S","B00",NULL,"2012-06-21 09:01:00",39122011,"N","N",0,NULL,0,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","VT","Z","B00",NULL,"2012-06-21 09:01:00",1604320010,"Y","N",0,NULL,0,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","VT","S","B00",NULL,"2012-06-21 09:01:00","03076010","N","N",0,NULL,0,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","VT","Z","B00",NULL,"2012-06-21 09:01:00","03076010","Y","N",0,NULL,0,"U","2012-07-02_KBT009(12184).txt"
